id,latent_risk
synthetic_000,0.24395464376443093
synthetic_001,0.17494438339418603
synthetic_002,0.4004702740805936
synthetic_003,0.2685207561832771
synthetic_004,0.3851539068492065
synthetic_005,0.21462565595835542
synthetic_006,0.14852144511319176
synthetic_007,0.4310671655368846
synthetic_008,0.17965140889326894
synthetic_009,0.5763287849548937
synthetic_010,0.5077073977678382
synthetic_011,0.1045766635246662
synthetic_012,0.35720798077354643
synthetic_013,0.1485414107500532
synthetic_014,0.2580867534174918
synthetic_015,0.298010354460575
synthetic_016,0.5497015107600046
synthetic_017,0.5463685792557507
synthetic_018,0.47393089101177893
synthetic_019,0.386687811568479
synthetic_020,0.4533479944784064
synthetic_021,0.3051688740037193
synthetic_022,0.37143381109256846
synthetic_023,0.284484442834917
synthetic_024,0.26899726051544626
synthetic_025,0.046304741694811975
synthetic_026,0.15326901262240344
synthetic_027,0.28350186379154313
synthetic_028,0.3200039453770685
synthetic_029,0.27452516760624024
synthetic_030,0.24224397404542644
synthetic_031,0.19897111982069424
synthetic_032,0.3761486621155483
synthetic_033,0.13693947456010608
synthetic_034,0.17968837404718263
synthetic_035,0.16017572375213007
synthetic_036,0.42067653106017916
synthetic_037,0.07967268925587796
synthetic_038,0.2338084078502502
synthetic_039,0.6420717971801553
synthetic_040,0.2564627014349041
synthetic_041,0.1944738521153504
synthetic_042,0.1144377976715502
synthetic_043,0.14055481872497555
synthetic_044,0.2924632468764371
synthetic_045,0.1652131142831801
synthetic_046,0.6620507626542508
synthetic_047,0.20565087461035297
synthetic_048,0.3822249208266734
synthetic_049,0.21824653035188876
synthetic_050,0.08925466481371194
synthetic_051,0.35344780675332044
synthetic_052,0.23019416251558839
synthetic_053,0.2987736729183393
synthetic_054,0.08114444190304751
synthetic_055,0.2659579520423393
synthetic_056,0.36883420418432866
synthetic_057,0.3426687114830727
synthetic_058,0.4510749413757277
synthetic_059,0.4064473359535714
synthetic_060,0.1757869410457184
synthetic_061,0.43954614560815025
synthetic_062,0.4043798010859155
synthetic_063,0.37454273676482897
synthetic_064,0.22068727510088448
synthetic_065,0.23514526202247157
synthetic_066,0.2925566613932221
synthetic_067,0.396815908505904
synthetic_068,0.34862426493655163
synthetic_069,0.28456587202047573
synthetic_070,0.12883364094843636
synthetic_071,0.19025633771018954
synthetic_072,0.6537893537213515
synthetic_073,0.07560358773198388
synthetic_074,0.7333316266525522
synthetic_075,0.2443444228695098
synthetic_076,0.17585231600105716
synthetic_077,0.3767466854554479
synthetic_078,0.5253145407443376
synthetic_079,0.41038462766425005
synthetic_080,0.2561407660640045
synthetic_081,0.4073262015684545
synthetic_082,0.3927634682980754
synthetic_083,0.4277253399532315
synthetic_084,0.39269865503397317
synthetic_085,0.2711656018383895
synthetic_086,0.17107362230520984
synthetic_087,0.17264819224240693
synthetic_088,0.34229999668968236
synthetic_089,0.6186932196596114
synthetic_090,0.4268725479512736
synthetic_091,0.3156331479689067
synthetic_092,0.24336431554433338
synthetic_093,0.12077591117391498
synthetic_094,0.33420479445252754
synthetic_095,0.1310914229075434
synthetic_096,0.2266534694574351
synthetic_097,0.24819648660701002
synthetic_098,0.36435382365482993
synthetic_099,0.2035037134392234
synthetic_100,0.29659658576297643
synthetic_101,0.482403139659973
synthetic_102,0.6213493315604195
synthetic_103,0.256969005033723
synthetic_104,0.21594110668746663
synthetic_105,0.09456689489185909
synthetic_106,0.3685972045131633
synthetic_107,0.2610517942243314
synthetic_108,0.3119404336865342
synthetic_109,0.17504714670520455
synthetic_110,0.16718757336408382
synthetic_111,0.06724587847846812
synthetic_112,0.22854899938852835
synthetic_113,0.2628934304953404
synthetic_114,0.2846270141954194
synthetic_115,0.3983228444120695
synthetic_116,0.28525217358727245
synthetic_117,0.24770768361750023
synthetic_118,0.5555559303133332
synthetic_119,0.2761968627443138
synthetic_120,0.1738768093080722
synthetic_121,0.40014447737610526
synthetic_122,0.3092640873699705
synthetic_123,0.26289005498860607
synthetic_124,0.3174820104305832
synthetic_125,0.052676612275680705
synthetic_126,0.2951468578039819
synthetic_127,0.2729797364455663
synthetic_128,0.5988192555857781
synthetic_129,0.4243237461023666
synthetic_130,0.37553934155275526
synthetic_131,0.2676492449647804
synthetic_132,0.3117305032958046
synthetic_133,0.10447382858228577
synthetic_134,0.20028595615210384
synthetic_135,0.1903466657424167
synthetic_136,0.22184830545951528
synthetic_137,0.3150240044918669
synthetic_138,0.11749722967707574
synthetic_139,0.24443854001822674
synthetic_140,0.5523763416158617
synthetic_141,0.4732604184344012
synthetic_142,0.2570748185205348
synthetic_143,0.4947105334337775
synthetic_144,0.5471711127460659
synthetic_145,0.24041066279104453
synthetic_146,0.49577581243596475
synthetic_147,0.3732655931943232
synthetic_148,0.307053932347342
synthetic_149,0.17897904908704493
