id,date,rmssd,nremhr,resting_hr,spo2,full_sleep_breathing_rate,minutesToFallAsleep,minutesAsleep,minutesAwake,sleep_efficiency,sleep_points_percentage,steps,sedentary_minutes
synthetic_000,day_0,41.206271083499225,59.686417512247544,71.74011571176355,96.75630158269651,15.32319148083789,30.116795749855036,358.3964482243528,30.184880957360892,0.8745845383597162,0.716663134468844,8431.887480055206,481.5122941216438
synthetic_000,day_1,39.86178143517145,60.54698942809574,73.79897589463076,96.01044444869831,14.729961257168702,18.28179769020494,372.1283244656856,39.85205554861672,0.8778245305247813,0.8023946913761562,8511.054769579487,496.06311284368013
synthetic_000,day_2,37.24273851096124,59.882773508876056,70.15960439803955,97.03724586853006,15.10721769457858,14.377614278410551,427.7164686191608,56.12089088950481,0.8099850104625519,0.8223551020183998,9105.993576872903,476.58551826494414
synthetic_000,day_3,42.27416681665936,65.04508013376051,71.69230053027572,96.3129444733731,16.058650919450706,21.639498650021906,432.2097992310533,19.967251202177845,0.865665041181613,0.8210037826793686,5145.255592966508,511.4755916474322
synthetic_000,day_4,39.139542333720065,71.42634370628743,61.26874116842712,96.90869071802653,13.224510917825466,18.41978585422458,397.6967798445535,22.480439431122143,0.8593467245023642,0.8178491700658201,9048.343912333847,463.8843817505211
synthetic_000,day_5,48.20448739359077,62.99511552570737,58.80960992255905,95.22743826315056,14.140611900562497,25.076152046540887,442.21751790684255,24.04714993832572,0.8583303580506422,0.8251475816554145,6999.081305300945,473.5292850339037
synthetic_000,day_6,44.994882243992826,60.64200744478219,64.28540478319616,95.82867771915468,13.808947069057583,24.99464594039543,416.8252161419141,36.59544931754881,0.8277389542369776,0.7776881951816088,8633.480054737343,481.88907567024404
synthetic_000,day_7,37.9542938471803,63.55304609558345,56.3397212588384,94.97637805641487,13.656715108939148,13.120891473298922,428.3448755400433,37.107969148049634,0.8711977825832857,0.7134300729954665,7087.443471435806,493.40994989514144
synthetic_000,day_8,33.87173890345452,62.924449360777295,60.763595533123095,95.86284157363289,16.252324408713307,7.280302708571986,462.45276041028814,23.95005576033584,0.8729302534244068,0.7934550990339302,6698.6661484524775,539.0867723581363
synthetic_000,day_9,43.20209003437117,64.06089787773266,76.07440121051208,95.94258353237493,14.015757652618193,22.533071173761304,352.6413143233073,29.467375160650853,0.8622089054457022,0.8719567371375012,9271.336311352949,469.8608880774027
synthetic_000,day_10,36.22266808153555,59.31875744308782,64.12486904365197,95.0327191163083,16.006135779941715,19.32108451732059,424.7584708648259,47.38442637245018,0.777668756521981,0.7057230711861427,8332.460994117058,433.8401505337133
synthetic_000,day_11,44.655955809741506,59.003946549956126,53.671450178198725,96.34823720422841,14.26842532939204,17.776008012673294,444.00869121462074,54.254495132811456,0.8206042312941235,0.7669582448215237,9686.900484124466,657.9964441855813
synthetic_000,day_12,27.943216785898677,61.52009760474879,66.14103255767665,97.54841196521726,15.400284069531894,28.960782182295237,416.7655711966593,26.49533973227754,0.8262442913201563,0.6938675432214789,6030.925896688438,442.20562609981874
synthetic_000,day_13,48.048593973424296,59.437001259680315,72.05316593983204,96.44202880723803,15.055989166574722,20.772765885027304,381.47458591741537,55.95117189802828,0.8184696864756443,0.8080386609744163,6949.165804093303,453.91259590052874
